"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
2,73106,"null","heteroscedastic","response","count",NA,0.412278644041422,NA,0,0,0.712,0.105633526545601,0.177777777777778
2,73106,"null","heteroscedastic","response","explicit_precision",NA,0.41016811566477,NA,0,0,0.712,0.106019219045079,0.177777777777778
2,73106,"null","heteroscedastic","response","random_effects",NA,0.412278644041422,NA,0,0,0.712,0.105633526545601,0.177777777777778
2,73106,"null","heteroscedastic","response","iid_analytic",NA,0.400560034995176,NA,1,0,0.712,0.0695629588276647,0.177777777777778
2,73106,"null","heteroscedastic","response","covariance_analytic",NA,0.0978350085653504,NA,1,0,0.712,0.0695629588276647,0.177777777777778
2,73106,"null","heteroscedastic","response","split_half",NA,0.0885166608494509,NA,1,0,0.712,0.288248429318365,0.177777777777778
2,73107,"null","heteroscedastic","response","legacy",NA,0.454059174725445,NA,0,0,0.332,0.0688641872833049,0.168518518518519
2,73107,"null","heteroscedastic","response","count",NA,0.427114588031892,NA,0,0,0.332,0.107846039627502,0.168518518518519
2,73107,"null","heteroscedastic","response","explicit_precision",NA,0.429410984323885,NA,0,0,0.332,0.107559756201293,0.168518518518519
2,73107,"null","heteroscedastic","response","random_effects",NA,0.427114588031892,NA,0,0,0.332,0.107846039627502,0.168518518518519
2,73107,"null","heteroscedastic","response","iid_analytic",NA,0.500030917437501,NA,1,0,0.332,0.0688641872833049,0.168518518518519
2,73107,"null","heteroscedastic","response","covariance_analytic",NA,0.255920719723522,NA,1,0,0.332,0.0688641872833049,0.168518518518519
2,73107,"null","heteroscedastic","response","split_half",NA,0.15022710280537,NA,1,0,0.332,0.292686202476389,0.168518518518519
2,73108,"null","heteroscedastic","response","legacy",NA,0.540428764856763,NA,0,0,0.462,0.068091113679349,0.160185185185185
2,73108,"null","heteroscedastic","response","count",NA,0.562882311520375,NA,0,0,0.462,0.102444985185888,0.160185185185185
2,73108,"null","heteroscedastic","response","explicit_precision",NA,0.567401619788726,NA,0,0,0.462,0.103356886558201,0.160185185185185
2,73108,"null","heteroscedastic","response","random_effects",NA,0.562882311520375,NA,0,0,0.462,0.102444985185888,0.160185185185185
2,73108,"null","heteroscedastic","response","iid_analytic",NA,0.461189759720006,NA,1,0,0.462,0.068091113679349,0.160185185185185
